id,time,dayPower,capacity
46,2017-01-01,122,50
46,2017-01-02,105,50
46,2017-01-03,133,50
46,2017-01-04,21,50
46,2017-01-05,4,50
46,2017-01-06,39,50
46,2017-01-07,28,50
46,2017-01-08,62,50
46,2017-01-09,143,50
46,2017-01-10,197,50
46,2017-01-11,145,50
46,2017-01-12,120,50
46,2017-01-13,202,50
46,2017-01-14,217,50
46,2017-01-15,131,50
46,2017-01-16,104,50
46,2017-01-17,83,50
46,2017-01-18,84,50
46,2017-01-19,116,50
46,2017-01-20,177,50
46,2017-01-21,200,50
46,2017-01-22,213,50
46,2017-01-23,147,50
46,2017-01-24,121,50
46,2017-01-25,157,50
46,2017-01-26,99,50
46,2017-01-27,186,50
46,2017-01-28,6,50
46,2017-01-29,65,50
46,2017-01-30,247,50
46,2017-01-31,137,50
46,2017-02-01,245,50
46,2017-02-02,193,50
46,2017-02-03,134,50
46,2017-02-04,33,50
46,2017-02-05,180,50
46,2017-02-06,146,50
46,2017-02-07,62,50
46,2017-02-08,121,50
46,2017-02-09,274,50
46,2017-02-10,270,50
46,2017-02-11,147,50
46,2017-02-12,147,50
46,2017-02-13,184,50
46,2017-02-14,131,50
46,2017-02-15,213,50
46,2017-02-16,145,50
46,2017-02-17,195,50
46,2017-02-18,229,50
46,2017-02-19,111,50
46,2017-02-20,235,50
46,2017-02-21,34,50
46,2017-02-22,62,50
46,2017-02-23,297,50
46,2017-02-24,277,50
46,2017-02-25,270,50
46,2017-02-26,235,50
46,2017-02-27,270,50
46,2017-02-28,194,50
46,2017-03-01,116,50
46,2017-03-02,295,50
46,2017-03-03,269,50
46,2017-03-04,215,50
46,2017-03-05,240,50
46,2017-03-06,264,50
46,2017-03-07,304,50
46,2017-03-08,290,50
46,2017-03-09,281,50
46,2017-03-10,266,50
46,2017-03-11,157,50
46,2017-03-12,234,50
46,2017-03-13,179,50
46,2017-03-14,273,50
46,2017-03-15,229,50
46,2017-03-16,234,50
46,2017-03-17,164,50
