time,weather,temperature,humidity,windDirection,windSpeed
2017-01-01 00:00,局部多云,2,76,南风,6级
2017-01-01 01:00,局部多云,2,77,南风,6级
2017-01-01 02:00,晴天,2,78,南风,6级
2017-01-01 03:00,晴天,2,79,南风,6级
2017-01-01 04:00,晴天,2,80,南风,6级
2017-01-01 05:00,晴天,2,81,南风,5级
2017-01-01 06:00,晴朗,2,82,南风,5级
2017-01-01 07:00,晴朗,3,79,南风,5级
2017-01-01 08:00,晴朗,4,76,南风,5级
2017-01-01 09:00,晴朗,5,73,南风,5级
2017-01-01 10:00,晴朗,6,66,南风,5级
2017-01-01 11:00,晴朗,8,59,南风,5级
2017-01-01 12:00,晴朗,10,52,南风,4级
2017-01-01 13:00,晴朗,10,53,南风,4级
2017-01-01 14:00,晴朗,11,54,西南风,4级
2017-01-01 15:00,晴朗,11,55,西南风,5级
2017-01-01 16:00,晴天,10,60,西南风,4级
2017-01-01 17:00,阴天,8,65,西南风,4级
2017-01-01 18:00,阴天,7,70,西南风,4级
2017-01-01 19:00,阴天,6,72,西南风,4级
2017-01-01 20:00,多云,5,75,西南风,3级
2017-01-01 21:00,多云,4,78,西南风,3级
2017-01-01 22:00,多云,4,80,西南风,3级
2017-01-01 23:00,晴天,4,83,西南风,3级
2017-01-02 00:00,晴天,3,85,西南风,2级
2017-01-02 01:00,晴天,3,87,西南风,2级
2017-01-02 02:00,晴天,3,88,西南风,3级
2017-01-02 03:00,晴朗,3,89,南风,3级
2017-01-02 04:00,晴朗,3,89,东南风,3级
2017-01-02 05:00,晴朗,4,89,东风,4级
2017-01-02 06:00,晴朗,4,89,东北风,4级
2017-01-02 07:00,晴朗,4,85,东北风,5级
2017-01-02 08:00,晴朗,5,82,东北风,5级
2017-01-02 09:00,晴朗,5,78,东北风,5级
2017-01-02 10:00,晴朗,7,68,东北风,5级
2017-01-02 11:00,晴朗,8,57,东北风,5级
2017-01-02 12:00,晴朗,9,47,东北风,5级
2017-01-02 13:00,晴朗,10,42,东北风,5级
2017-01-02 14:00,晴朗,10,37,东北风,5级
2017-01-02 15:00,晴朗,11,33,东北风,5级
2017-01-02 16:00,晴朗,10,36,东风,5级
2017-01-02 17:00,晴朗,9,39,东风,5级
2017-01-02 18:00,晴朗,8,43,东风,4级
2017-01-02 19:00,晴朗,7,45,东南风,5级
2017-01-02 20:00,晴朗,6,48,东南风,5级
2017-01-02 21:00,晴朗,5,50,东南风,5级
2017-01-02 22:00,晴朗,5,54,南风,5级
2017-01-02 23:00,晴朗,5,59,南风,5级
2017-01-03 00:00,晴朗,4,63,南风,5级
2017-01-03 01:00,晴朗,4,67,南风,6级
2017-01-03 02:00,晴朗,4,71,南风,6级
2017-01-03 03:00,晴朗,4,75,南风,6级
2017-01-03 04:00,晴朗,3,77,南风,6级
2017-01-03 05:00,晴朗,3,79,南风,6级
2017-01-03 06:00,晴朗,3,81,南风,6级
2017-01-03 07:00,晴朗,4,79,南风,6级
2017-01-03 08:00,晴朗,5,76,南风,7级
2017-01-03 09:00,晴朗,5,74,南风,7级
2017-01-03 10:00,晴朗,7,67,南风,7级
2017-01-03 11:00,晴朗,8,59,西南风,7级
2017-01-03 12:00,晴朗,10,52,西南风,8级
2017-01-03 13:00,晴朗,10,52,西南风,7级
2017-01-03 14:00,晴朗,11,53,西南风,7级
2017-01-03 15:00,晴朗,11,53,西南风,6级
2017-01-03 16:00,晴朗,10,59,西南风,6级
2017-01-03 17:00,晴天,8,66,南风,5级
2017-01-03 18:00,晴天,7,72,南风,5级
2017-01-03 19:00,晴天,6,76,南风,4级
2017-01-03 20:00,晴天,5,80,南风,4级
2017-01-03 21:00,晴天,4,84,南风,4级
2017-01-03 22:00,晴天,4,84,东南风,4级
2017-01-03 23:00,晴朗,4,85,东南风,3级
2017-01-04 00:00,晴朗,4,85,东南风,3级
2017-01-04 01:00,晴朗,3,84,东风,4级
2017-01-04 02:00,晴朗,3,84,东风,4级
2017-01-04 03:00,晴朗,3,83,东风,4级
2017-01-04 04:00,晴朗,3,82,东风,4级
2017-01-04 05:00,晴朗,3,80,东风,4级
2017-01-04 06:00,晴朗,3,79,东风,5级
2017-01-04 07:00,晴朗,4,75,东风,5级
2017-01-04 08:00,晴朗,5,72,东风,5级
2017-01-04 09:00,晴朗,5,68,东风,5级
2017-01-04 10:00,晴朗,7,61,东风,5级
2017-01-04 11:00,晴朗,8,54,东风,5级
2017-01-04 12:00,晴朗,10,48,东北风,5级
2017-01-04 13:00,晴天,10,46,东北风,5级
2017-01-04 14:00,多云,11,45,东北风,5级
2017-01-04 15:00,多云,11,43,东北风,5级
2017-01-04 16:00,多云,10,46,东北风,5级
2017-01-04 17:00,多云,10,48,东北风,4级
2017-01-04 18:00,多云,9,50,东北风,4级
2017-01-04 19:00,多云,8,50,东北风,4级
2017-01-04 20:00,多云,7,50,东北风,4级
2017-01-04 21:00,多云,6,50,东北风,4级
2017-01-04 22:00,多云,5,49,东北风,4级
2017-01-04 23:00,阴天,5,49,东北风,3级
2017-01-05 00:00,多云,6,52,东风,3级
2017-01-05 01:00,多云,5,54,东风,2级
2017-01-05 02:00,多云,4,55,东风,2级
2017-01-05 03:00,多云,4,57,东北风,2级
2017-01-05 04:00,多云,4,58,东北风,2级
2017-01-05 05:00,多云,4,60,东北风,2级
2017-01-05 06:00,多云,4,60,东北风,3级
2017-01-05 07:00,多云,4,59,东北风,3级
2017-01-05 08:00,多云,4,59,东风,3级
2017-01-05 09:00,阴天,6,58,东风,3级
2017-01-05 10:00,多云,7,57,东风,3级
2017-01-05 11:00,阴天,8,56,东北风,3级
2017-01-05 12:00,多云,8,59,东北风,3级
2017-01-05 13:00,阴天,8,62,东北风,3级
2017-01-05 14:00,多云,8,66,东北风,4级
2017-01-05 15:00,局部多云,8,70,东北风,4级
2017-01-05 16:00,多云,7,75,东北风,4级
2017-01-05 17:00,局部多云,7,80,东北风,4级
2017-01-05 18:00,多云,6,81,东北风,4级
2017-01-05 19:00,局部多云,5,82,东风,4级
2017-01-05 20:00,多云,4,82,东风,5级
2017-01-05 21:00,多云,4,83,东风,4级
2017-01-05 22:00,多云,3,83,东风,4级
2017-01-05 23:00,多云,3,84,东南风,4级
2017-01-06 00:00,局部多云,2,87,南风,2级
2017-01-06 01:00,多云,1,88,西风,1级
2017-01-06 02:00,局部多云,0,88,北风,1级
2017-01-06 03:00,晴天,0,88,西南风,1级
2017-01-06 04:00,局部多云,0,88,东南风,2级
2017-01-06 05:00,晴天,-1,87,东北风,2级
2017-01-06 06:00,晴天,0,84,东北风,2级
2017-01-06 07:00,晴天,1,81,东北风,2级
2017-01-06 08:00,晴天,2,78,东北风,3级
2017-01-06 09:00,晴天,4,68,东北风,3级
2017-01-06 10:00,晴天,6,57,东北风,3级
2017-01-06 11:00,晴天,8,47,东北风,3级
2017-01-06 12:00,晴天,9,44,东北风,3级
2017-01-06 13:00,晴天,10,42,东北风,4级
2017-01-06 14:00,晴天,11,39,东北风,5级
2017-01-06 15:00,局部多云,10,42,东北风,4级
2017-01-06 16:00,晴天,8,45,东北风,4级
2017-01-06 17:00,局部多云,7,49,东北风,4级
2017-01-06 18:00,局部多云,6,49,东北风,4级
2017-01-06 19:00,局部多云,5,50,东风,4级
2017-01-06 20:00,局部多云,4,50,东风,4级
2017-01-06 21:00,局部多云,3,51,东风,4级
2017-01-06 22:00,局部多云,3,52,东风,4级
2017-01-06 23:00,局部多云,2,54,东风,4级
2017-01-07 00:00,细雨,3,49,东风,3级
2017-01-07 01:00,局部多云,3,50,东风,3级
2017-01-07 02:00,细雨,4,51,东风,3级
2017-01-07 03:00,细雨,3,53,东风,3级
2017-01-07 04:00,细雨,3,55,东北风,3级
2017-01-07 05:00,细雨,3,57,东北风,4级
2017-01-07 06:00,多云,3,59,东北风,4级
2017-01-07 07:00,细雨,3,61,东北风,5级
2017-01-07 08:00,多云,4,64,东北风,5级
2017-01-07 09:00,多云,5,61,东北风,5级
2017-01-07 10:00,多云,5,59,东北风,5级
2017-01-07 11:00,多云,6,56,东北风,6级
2017-01-07 12:00,局部多云,7,55,东北风,6级
2017-01-07 13:00,多云,8,54,东北风,6级
2017-01-07 14:00,局部多云,8,53,东北风,6级
2017-01-07 15:00,局部多云,7,60,东北风,6级
2017-01-07 16:00,局部多云,7,67,东北风,6级
2017-01-07 17:00,局部多云,6,74,东北风,6级
2017-01-07 18:00,阴天,5,78,东北风,6级
2017-01-07 19:00,局部多云,4,82,东北风,5级
2017-01-07 20:00,阴天,3,86,东北风,5级
2017-01-07 21:00,多云,3,86,东北风,5级
2017-01-07 22:00,阴天,3,86,东北风,5级
2017-01-07 23:00,多云,3,86,东北风,5级
2017-01-08 00:00,冻雾,1,96,北风,5级
2017-01-08 01:00,薄雾,0,97,北风,5级
2017-01-08 02:00,冻雾,0,98,北风,5级
2017-01-08 03:00,冻雾,0,98,北风,5级
2017-01-08 04:00,冻雾,0,98,北风,5级
2017-01-08 05:00,冻雾,-1,98,北风,5级
2017-01-08 06:00,小雪,0,98,北风,5级
2017-01-08 07:00,冻雾,1,97,北风,4级
2017-01-08 08:00,小雪,1,96,北风,4级
2017-01-08 09:00,多云,2,90,东南风,4级
2017-01-08 10:00,小雪,3,84,西南风,4级
2017-01-08 11:00,多云,4,79,北风,4级
2017-01-08 12:00,晴天,5,73,北风,4级
2017-01-08 13:00,多云,6,68,西北风,4级
2017-01-08 14:00,晴天,6,62,西北风,5级
2017-01-08 15:00,晴天,6,65,西北风,4级
2017-01-08 16:00,晴朗,6,68,西北风,3级
2017-01-08 17:00,晴朗,6,71,西北风,3级
2017-01-08 18:00,晴朗,5,72,西北风,3级
2017-01-08 19:00,晴朗,5,74,西北风,2级
2017-01-08 20:00,晴朗,5,75,西北风,2级
2017-01-08 21:00,晴朗,4,77,西北风,2级
2017-01-08 22:00,晴朗,4,79,西北风,2级
2017-01-08 23:00,晴朗,3,81,北风,3级
2017-01-09 00:00,晴朗,1,73,西北风,3级
2017-01-09 01:00,晴朗,2,74,西北风,3级
2017-01-09 02:00,晴朗,2,74,西北风,3级
2017-01-09 03:00,晴朗,1,75,西南风,4级
2017-01-09 04:00,晴朗,0,77,东南风,4级
2017-01-09 05:00,晴朗,-1,78,北风,5级
