time,weather,temperature,humidity,windDirection,windSpeed,weatherCode
2017-01-01 07:00,晴天,3,79,南风,5级,14
2017-01-01 08:00,晴天,4,76,南风,5级,14
2017-01-01 09:00,晴天,5,73,南风,5级,14
2017-01-01 10:00,晴天,6,66,南风,5级,14
2017-01-01 11:00,晴天,8,59,南风,5级,14
2017-01-01 12:00,晴天,10,52,南风,4级,14
2017-01-01 13:00,晴天,10,53,南风,4级,14
2017-01-01 14:00,晴天,11,54,西南风,4级,14
2017-01-01 15:00,晴天,11,55,西南风,5级,14
2017-01-01 16:00,晴天,10,60,西南风,4级,14
2017-01-01 17:00,阴天,8,65,西南风,4级,20
2017-01-01 18:00,阴天,7,70,西南风,4级,20
2017-01-01 19:00,阴天,6,72,西南风,4级,20
2017-01-02 07:00,晴天,4,85,东北风,5级,14
2017-01-02 08:00,晴天,5,82,东北风,5级,14
2017-01-02 09:00,晴天,5,78,东北风,5级,14
2017-01-02 10:00,晴天,7,68,东北风,5级,14
2017-01-02 11:00,晴天,8,57,东北风,5级,14
2017-01-02 12:00,晴天,9,47,东北风,5级,14
2017-01-02 13:00,晴天,10,42,东北风,5级,14
2017-01-02 14:00,晴天,10,37,东北风,5级,14
2017-01-02 15:00,晴天,11,33,东北风,5级,14
2017-01-02 16:00,晴天,10,36,东风,5级,14
2017-01-02 17:00,晴天,9,39,东风,5级,14
2017-01-02 18:00,晴天,8,43,东风,4级,14
2017-01-02 19:00,晴天,7,45,东南风,5级,14
2017-01-03 07:00,晴天,4,79,南风,6级,14
2017-01-03 08:00,晴天,5,76,南风,7级,14
2017-01-03 09:00,晴天,5,74,南风,7级,14
2017-01-03 10:00,晴天,7,67,南风,7级,14
2017-01-03 11:00,晴天,8,59,西南风,7级,14
2017-01-03 12:00,晴天,10,52,西南风,8级,14
2017-01-03 13:00,晴天,10,52,西南风,7级,14
2017-01-03 14:00,晴天,11,53,西南风,7级,14
2017-01-03 15:00,晴天,11,53,西南风,6级,14
2017-01-03 16:00,晴天,10,59,西南风,6级,14
2017-01-03 17:00,晴天,8,66,南风,5级,14
2017-01-03 18:00,晴天,7,72,南风,5级,14
2017-01-03 19:00,晴天,6,76,南风,4级,14
2017-01-04 07:00,晴天,4,75,东风,5级,14
