id,time,dayPower,capacity
407,2017-01-01 22,148.0,75
407,2017-01-02 22,104.0,75
407,2017-01-03 22,172.0,75
407,2017-01-04 22,44.0,75
407,2017-01-05 22,193.0,75
407,2017-01-06 22,207.0,75
407,2017-01-07 22,41.0,75
407,2017-01-08 22,217.0,75
407,2017-01-09 22,234.0,75
407,2017-01-10 22,258.0,75
407,2017-01-11 22,280.0,75
407,2017-01-12 22,253.0,75
407,2017-01-13 22,248.0,75
407,2017-01-14 22,173.0,75
407,2017-01-15 22,86.0,75
407,2017-01-16 22,128.0,75
407,2017-01-17 22,28.0,75
407,2017-01-18 22,64.0,75
407,2017-01-19 22,126.0,75
407,2017-01-20 22,169.0,75
407,2017-01-21 22,48.0,75
407,2017-01-22 22,105.0,75
407,2017-01-23 22,275.0,75
407,2017-01-24 22,252.0,75
407,2017-01-25 22,164.0,75
407,2017-01-26 22,202.0,75
407,2017-01-27 22,99.0,75
407,2017-01-28 22,143.0,75
407,2017-01-29 22,287.0,75
407,2017-01-30 22,207.0,75
407,2017-01-31 22,270.0,75
407,2017-02-01 22,262.0,75
407,2017-02-02 22,336.0,75
407,2017-02-03 22,320.0,75
407,2017-02-04 22,321.0,75
407,2017-02-05 22,329.0,75
407,2017-02-06 22,314.0,75
407,2017-02-07 22,313.0,75
407,2017-02-08 22,301.0,75
407,2017-02-09 22,241.0,75
407,2017-02-10 22,299.0,75
407,2017-02-11 22,325.0,75
407,2017-02-12 22,346.0,75
407,2017-02-13 22,337.0,75
407,2017-02-14 22,112.0,75
407,2017-02-15 22,302.0,75
407,2017-02-16 22,269.0,75
407,2017-02-17 22,70.0,75
407,2017-02-18 22,210.0,75
407,2017-02-19 22,197.0,75
407,2017-02-20 22,44.0,75
407,2017-02-21 22,321.0,75
407,2017-02-22 22,310.0,75
407,2017-02-23 22,317.0,75
407,2017-02-24 22,163.0,75
407,2017-02-25 22,329.0,75
407,2017-02-26 22,267.0,75
407,2017-02-27 22,137.0,75
407,2017-02-28 22,173.0,75
407,2017-03-01 22,329.0,75
407,2017-03-02 22,340.0,75
407,2017-03-03 22,183.0,75
407,2017-03-04 22,48.0,75
407,2017-03-05 22,410.0,75
407,2017-03-06 22,309.0,75
407,2017-03-07 22,225.0,75
407,2017-03-08 22,416.0,75
407,2017-03-09 22,380.0,75
407,2017-03-10 22,267.0,75
407,2017-03-11 22,194.0,75
407,2017-03-12 22,340.0,75
407,2017-03-13 22,343.0,75
407,2017-03-14 22,361.0,75
407,2017-03-15 22,70.0,75
407,2017-03-16 22,461.0,75
407,2017-03-17 22,66.0,75
407,2017-03-18 22,107.0,75
407,2017-03-19 22,373.0,75
407,2017-03-20 22,267.0,75
407,2017-03-21 22,392.0,75
407,2017-03-22 22,288.0,75
407,2017-03-23 22,376.0,75
407,2017-03-24 22,401.0,75
407,2017-03-25 22,429.0,75
407,2017-03-26 22,398.0,75
407,2017-03-27 22,376.0,75
407,2017-03-28 22,308.0,75
