id,time,dayPower/capacity,lat,lng
423,2017-01-01,2.0,37.3861,117.011
423,2017-01-02,2.0,37.3861,117.011
423,2017-01-03,2.0,37.3861,117.011
423,2017-01-04,3.175,37.3861,117.011
423,2017-01-05,4.175,37.3861,117.011
423,2017-01-06,2.45,37.3861,117.011
423,2017-01-07,1.875,37.3861,117.011
423,2017-01-08,2.8,37.3861,117.011
423,2017-01-09,2.45,37.3861,117.011
423,2017-01-10,5.9,37.3861,117.011
423,2017-01-11,2.85,37.3861,117.011
423,2017-01-12,4.4,37.3861,117.011
423,2017-01-13,4.325,37.3861,117.011
423,2017-01-14,3.15,37.3861,117.011
423,2017-01-15,2.825,37.3861,117.011
423,2017-01-16,2.45,37.3861,117.011
423,2017-01-17,1.8,37.3861,117.011
423,2017-01-18,2.825,37.3861,117.011
423,2017-01-19,5.025,37.3861,117.011
423,2017-01-20,4.325,37.3861,117.011
423,2017-01-21,4.325,37.3861,117.011
423,2017-01-22,4.325,37.3861,117.011
423,2017-01-23,3.85,37.3861,117.011
423,2017-01-24,3.775,37.3861,117.011
423,2017-01-25,2.45,37.3861,117.011
423,2017-01-26,0.275,37.3861,117.011
423,2017-01-27,3.9,37.3861,117.011
423,2017-01-28,1.0,37.3861,117.011
423,2017-01-29,2.05,37.3861,117.011
423,2017-01-30,2.825,37.3861,117.011
423,2017-01-31,3.15,37.3861,117.011
423,2017-02-01,3.85,37.3861,117.011
423,2017-02-02,2.825,37.3861,117.011
423,2017-02-03,1.825,37.3861,117.011
423,2017-02-04,2.0,37.3861,117.011
423,2017-02-05,2.925,37.3861,117.011
423,2017-02-06,4.7,37.3861,117.011
423,2017-02-07,4.7,37.3861,117.011
423,2017-02-08,3.2,37.3861,117.011
423,2017-02-09,4.325,37.3861,117.011
423,2017-02-10,4.325,37.3861,117.011
423,2017-02-11,6.2,37.3861,117.011
423,2017-02-12,3.75,37.3861,117.011
423,2017-02-13,3.55,37.3861,117.011
423,2017-02-14,3.775,37.3861,117.011
423,2017-02-15,5.025,37.3861,117.011
423,2017-02-16,3.075,37.3861,117.011
423,2017-02-17,6.275,37.3861,117.011
423,2017-02-18,3.55,37.3861,117.011
423,2017-02-19,2.75,37.3861,117.011
423,2017-02-20,2.05,37.3861,117.011
423,2017-02-21,1.35,37.3861,117.011
423,2017-02-22,1.575,37.3861,117.011
423,2017-02-23,2.0,37.3861,117.011
423,2017-02-24,3.55,37.3861,117.011
423,2017-02-25,3.875,37.3861,117.011
423,2017-02-26,4.825,37.3861,117.011
423,2017-02-27,4.6,37.3861,117.011
423,2017-02-28,6.2,37.3861,117.011
423,2017-03-01,5.0,37.3861,117.011
423,2017-03-02,6.2,37.3861,117.011
423,2017-03-03,4.6,37.3861,117.011
423,2017-03-04,5.025,37.3861,117.011
423,2017-03-05,3.5,37.3861,117.011
423,2017-03-06,3.75,37.3861,117.011
423,2017-03-07,4.375,37.3861,117.011
423,2017-03-08,6.2,37.3861,117.011
423,2017-03-09,5.55,37.3861,117.011
423,2017-03-10,5.4,37.3861,117.011
423,2017-03-11,2.775,37.3861,117.011
423,2017-03-12,4.175,37.3861,117.011
423,2017-03-13,4.875,37.3861,117.011
423,2017-03-14,3.225,37.3861,117.011
423,2017-03-15,4.975,37.3861,117.011
423,2017-03-16,4.85,37.3861,117.011
423,2017-03-17,3.35,37.3861,117.011
423,2017-03-18,4.15,37.3861,117.011
423,2017-03-19,6.475,37.3861,117.011
423,2017-03-20,3.6,37.3861,117.011
423,2017-03-21,4.6,37.3861,117.011
423,2017-03-22,1.35,37.3861,117.011
423,2017-03-23,1.275,37.3861,117.011
423,2017-03-24,3.975,37.3861,117.011
423,2017-03-25,4.775,37.3861,117.011
423,2017-03-26,4.825,37.3861,117.011
423,2017-03-27,3.425,37.3861,117.011
423,2017-03-28,2.8,37.3861,117.011
423,2017-03-29,4.775,37.3861,117.011
423,2017-03-30,3.775,37.3861,117.011
423,2017-03-31,2.675,37.3861,117.011
423,2017-04-01,5.025,37.3861,117.011
423,2017-04-02,5.15,37.3861,117.011
423,2017-04-03,3.175,37.3861,117.011
423,2017-04-04,2.275,37.3861,117.011
423,2017-04-05,4.175,37.3861,117.011
423,2017-04-06,4.3,37.3861,117.011
423,2017-04-07,3.6,37.3861,117.011
