id,time,dayPower,capacity,lat,lng
293,2017-01-01,35,50,36.7302,117.631
293,2017-01-02,160,50,36.7302,117.631
293,2017-01-03,35,50,36.7302,117.631
293,2017-01-04,272,50,36.7302,117.631
293,2017-01-05,133,50,36.7302,117.631
293,2017-01-06,155,50,36.7302,117.631
293,2017-01-07,121,50,36.7302,117.631
293,2017-01-08,38,50,36.7302,117.631
293,2017-01-09,121,50,36.7302,117.631
293,2017-01-10,64,50,36.7302,117.631
293,2017-01-11,156,50,36.7302,117.631
293,2017-01-12,140,50,36.7302,117.631
293,2017-01-13,215,50,36.7302,117.631
293,2017-01-14,219,50,36.7302,117.631
293,2017-01-15,138,50,36.7302,117.631
293,2017-01-16,121,50,36.7302,117.631
293,2017-01-17,121,50,36.7302,117.631
293,2017-01-18,87,50,36.7302,117.631
293,2017-01-19,140,50,36.7302,117.631
293,2017-01-20,197,50,36.7302,117.631
293,2017-01-21,204,50,36.7302,117.631
293,2017-01-22,226,50,36.7302,117.631
293,2017-01-23,167,50,36.7302,117.631
293,2017-01-24,129,50,36.7302,117.631
293,2017-01-25,173,50,36.7302,117.631
293,2017-01-26,119,50,36.7302,117.631
293,2017-01-27,232,50,36.7302,117.631
293,2017-01-28,87,50,36.7302,117.631
293,2017-01-29,140,50,36.7302,117.631
293,2017-01-30,138,50,36.7302,117.631
293,2017-01-31,219,50,36.7302,117.631
293,2017-02-01,215,50,36.7302,117.631
293,2017-02-02,138,50,36.7302,117.631
293,2017-02-03,173,50,36.7302,117.631
293,2017-02-04,35,50,36.7302,117.631
293,2017-02-05,209,50,36.7302,117.631
293,2017-02-06,153,50,36.7302,117.631
293,2017-02-07,129,50,36.7302,117.631
293,2017-02-08,232,50,36.7302,117.631
293,2017-02-09,296,50,36.7302,117.631
293,2017-02-10,291,50,36.7302,117.631
293,2017-02-11,255,50,36.7302,117.631
293,2017-02-12,255,50,36.7302,117.631
293,2017-02-13,255,50,36.7302,117.631
293,2017-02-14,148,50,36.7302,117.631
293,2017-02-15,201,50,36.7302,117.631
293,2017-02-16,150,50,36.7302,117.631
293,2017-02-17,219,50,36.7302,117.631
293,2017-02-18,234,50,36.7302,117.631
293,2017-02-19,140,50,36.7302,117.631
293,2017-02-20,256,50,36.7302,117.631
293,2017-02-21,43,50,36.7302,117.631
293,2017-02-22,50,50,36.7302,117.631
293,2017-02-23,301,50,36.7302,117.631
293,2017-02-24,284,50,36.7302,117.631
293,2017-02-25,284,50,36.7302,117.631
293,2017-02-26,256,50,36.7302,117.631
293,2017-02-27,248,50,36.7302,117.631
293,2017-02-28,182,50,36.7302,117.631
293,2017-03-01,101,50,36.7302,117.631
293,2017-03-02,321,50,36.7302,117.631
293,2017-03-03,283,50,36.7302,117.631
293,2017-03-04,216,50,36.7302,117.631
293,2017-03-05,222,50,36.7302,117.631
293,2017-03-06,248,50,36.7302,117.631
293,2017-03-07,337,50,36.7302,117.631
293,2017-03-08,321,50,36.7302,117.631
293,2017-03-09,308,50,36.7302,117.631
293,2017-03-10,305,50,36.7302,117.631
293,2017-03-11,194,50,36.7302,117.631
293,2017-03-12,223,50,36.7302,117.631
293,2017-03-13,174,50,36.7302,117.631
293,2017-03-14,302,50,36.7302,117.631
293,2017-03-15,255,50,36.7302,117.631
293,2017-03-16,273,50,36.7302,117.631
293,2017-03-17,205,50,36.7302,117.631
293,2017-03-18,210,50,36.7302,117.631
293,2017-03-19,267,50,36.7302,117.631
293,2017-03-20,95,50,36.7302,117.631
293,2017-03-21,272,50,36.7302,117.631
293,2017-03-22,130,50,36.7302,117.631
293,2017-03-23,101,50,36.7302,117.631
293,2017-03-24,55,50,36.7302,117.631
293,2017-03-25,234,50,36.7302,117.631
293,2017-03-26,255,50,36.7302,117.631
293,2017-03-27,304,50,36.7302,117.631
293,2017-03-28,38,50,36.7302,117.631
293,2017-03-29,314,50,36.7302,117.631
293,2017-03-30,133,50,36.7302,117.631
293,2017-03-31,233,50,36.7302,117.631
293,2017-04-01,313,50,36.7302,117.631
293,2017-04-02,285,50,36.7302,117.631
293,2017-04-03,263,50,36.7302,117.631
293,2017-04-04,95,50,36.7302,117.631
293,2017-04-05,133,50,36.7302,117.631
293,2017-04-06,318,50,36.7302,117.631
293,2017-04-07,200,50,36.7302,117.631
293,2017-04-08,200,50,36.7302,117.631
293,2017-04-09,304,50,36.7302,117.631
293,2017-04-10,218,50,36.7302,117.631
293,2017-04-11,299,50,36.7302,117.631
293,2017-04-12,316,50,36.7302,117.631
293,2017-04-13,210,50,36.7302,117.631
293,2017-04-14,271,50,36.7302,117.631
293,2017-04-15,251,50,36.7302,117.631
293,2017-04-16,133,50,36.7302,117.631
293,2017-04-17,316,50,36.7302,117.631
293,2017-04-18,285,50,36.7302,117.631
293,2017-04-19,55,50,36.7302,117.631
293,2017-04-20,263,50,36.7302,117.631
293,2017-04-21,263,50,36.7302,117.631
293,2017-04-22,329,50,36.7302,117.631
293,2017-04-23,308,50,36.7302,117.631
293,2017-04-24,209,50,36.7302,117.631
293,2017-04-25,104,50,36.7302,117.631
293,2017-04-26,301,50,36.7302,117.631
293,2017-04-27,336,50,36.7302,117.631
293,2017-04-28,318,50,36.7302,117.631
293,2017-04-29,312,50,36.7302,117.631
293,2017-04-30,261,50,36.7302,117.631
293,2017-05-01,190,50,36.7302,117.631
293,2017-05-02,295,50,36.7302,117.631
293,2017-05-03,246,50,36.7302,117.631
293,2017-05-04,148,50,36.7302,117.631
293,2017-05-05,264,50,36.7302,117.631
293,2017-05-06,309,50,36.7302,117.631
293,2017-05-07,292,50,36.7302,117.631
293,2017-05-08,125,50,36.7302,117.631
293,2017-05-09,271,50,36.7302,117.631
293,2017-05-10,277,50,36.7302,117.631
293,2017-05-11,205,50,36.7302,117.631
293,2017-05-12,295,50,36.7302,117.631
293,2017-05-13,310,50,36.7302,117.631
293,2017-05-14,288,50,36.7302,117.631
293,2017-05-15,239,50,36.7302,117.631
293,2017-05-16,295,50,36.7302,117.631
293,2017-05-17,299,50,36.7302,117.631
293,2017-05-18,295,50,36.7302,117.631
293,2017-05-19,249,50,36.7302,117.631
293,2017-05-20,256,50,36.7302,117.631
293,2017-05-21,233,50,36.7302,117.631
293,2017-05-22,179,50,36.7302,117.631
293,2017-05-23,202,50,36.7302,117.631
293,2017-05-24,332,50,36.7302,117.631
293,2017-05-25,329,50,36.7302,117.631
293,2017-05-26,316,50,36.7302,117.631
293,2017-05-27,296,50,36.7302,117.631
293,2017-05-28,311,50,36.7302,117.631
293,2017-05-29,242,50,36.7302,117.631
293,2017-05-30,267,50,36.7302,117.631
293,2017-05-31,284,50,36.7302,117.631
293,2017-06-01,304,50,36.7302,117.631
293,2017-06-02,251,50,36.7302,117.631
293,2017-06-03,306,50,36.7302,117.631
293,2017-06-04,286,50,36.7302,117.631
293,2017-06-05,167,50,36.7302,117.631
293,2017-06-06,51,50,36.7302,117.631
293,2017-06-07,307,50,36.7302,117.631
293,2017-06-08,259,50,36.7302,117.631
293,2017-06-09,272,50,36.7302,117.631
293,2017-06-10,147,50,36.7302,117.631
293,2017-06-11,215,50,36.7302,117.631
293,2017-06-12,145,50,36.7302,117.631
293,2017-06-13,188,50,36.7302,117.631
293,2017-06-14,265,50,36.7302,117.631
293,2017-06-15,246,50,36.7302,117.631
293,2017-06-16,278,50,36.7302,117.631
293,2017-06-17,281,50,36.7302,117.631
293,2017-06-18,293,50,36.7302,117.631
293,2017-06-19,218,50,36.7302,117.631
293,2017-06-20,191,50,36.7302,117.631
293,2017-06-21,258,50,36.7302,117.631
293,2017-06-22,71,50,36.7302,117.631
293,2017-06-23,161,50,36.7302,117.631
293,2017-06-24,213,50,36.7302,117.631
293,2017-06-25,196,50,36.7302,117.631
293,2017-06-26,207,50,36.7302,117.631
293,2017-06-27,281,50,36.7302,117.631
293,2017-06-28,213,50,36.7302,117.631
293,2017-06-29,208,50,36.7302,117.631
293,2017-06-30,179,50,36.7302,117.631
