time,weather,temperature,humidity,windSpeed,weatherCode
2017/1/1,阴天,11,63,4,18
2017/1/2,晴朗,11,51,5,13
2017/1/3,晴朗,11,63,6,13
2017/1/4,多云,11,53,5,5
2017/1/5,阴天,8,67,3,18
2017/1/6,局部多云,11,51,4,11
2017/1/7,阴天,8,64,6,18
2017/1/8,小雪,6,75,4,10
2017/1/9,晴朗,8,49,3,13
2017/1/10,局部多云,4,36,7,11
2017/1/11,局部多云,7,50,7,11
2017/1/12,晴朗,11,39,3,13
2017/1/13,晴朗,4,24,7,13
2017/1/14,局部多云,4,27,6,11
2017/1/15,多云,5,43,3,5
2017/1/16,晴朗,7,48,4,13
2017/1/17,晴朗,8,48,5,13
2017/1/18,多云,7,49,6,5
2017/1/19,晴朗,4,36,10,13
2017/1/20,晴朗,3,17,4,13
2017/1/21,晴朗,2,19,7,13
2017/1/22,晴朗,2,19,5,13
2017/1/23,晴朗,7,20,3,13
2017/1/24,晴朗,8,34,2,13
2017/1/25,晴朗,9,45,6,13
2017/1/26,阴天,12,49,11,18
2017/1/27,阴天,10,20,5,18
2017/1/28,周边零星小雨,7,66,5,3
2017/1/29,多云,3,35,10,5
2017/1/30,多云,3,24,4,5
2017/1/31,局部多云,5,25,5,11
2017/2/1,晴朗,5,30,6,13
2017/2/2,多云,8,33,6,5
2017/2/3,局部多云,10,47,6,11
2017/2/4,晴朗,12,57,4,13
2017/2/5,局部多云,10,35,5,11
2017/2/6,阴天,6,33,8,18
2017/2/7,晴天,8,34,5,12
2017/2/8,阴天,5,30,7,18
2017/2/9,晴朗,3,21,7,13
2017/2/10,晴朗,3,19,7,13
2017/2/11,晴朗,10,17,3,13
2017/2/12,晴朗,14,24,6,13
2017/2/13,晴朗,16,26,5,13
2017/2/14,多云,15,33,6,5
2017/2/15,晴天,17,34,10,12
2017/2/16,局部多云,18,50,10,11
2017/2/17,晴朗,8,25,6,13
2017/2/18,晴朗,15,34,7,13
2017/2/19,多云,20,48,10,5
2017/2/20,多云,5,22,10,5
2017/2/21,大雪,4,44,3,7
2017/2/22,薄雾,4,81,4,17
2017/2/23,阴天,8,44,4,18
2017/2/24,晴朗,13,31,6,13
2017/2/25,晴朗,13,27,5,13
2017/2/26,多云,15,24,6,5
2017/2/27,局部多云,17,25,7,11
2017/2/28,阴天,17,26,6,18
2017/3/1,局部多云,8,17,10,11
2017/3/2,晴朗,11,15,7,13
2017/3/3,局部多云,18,26,9,11
2017/3/4,局部多云,20,28,4,11
2017/3/5,阴天,10,40,10,18
2017/3/6,局部多云,13,20,7,11
2017/3/7,晴朗,8,17,7,13
