stationCode,changZhanId,title,longitude,latitude
JY-RF-001,1,高纸,117.37,37.0913
JY-RF-002,2,东街,117.394,37.1678
JY-RF-003,3,平家,117.417,37.1673
JY-RF-004,4,孙家,117.41,37.1745
JY-RF-005,5,张辛,117.429,37.128
JY-RF-006,6,许家,117.42,37.175
JY-RF-007,7,后乔,117.371,37.125
JY-RF-008,8,霍候魏,117.381,37.1452
JY-JBJD-001,9,济北闫家,117.159,37.0033
JY-QD-001,10,曲堤小刘,117.284,37.0824
JY-QD-002,11,石门,117.287,37.1112
JY-QD-003,12,牛王,117.248,37.1062
JY-QD-004,13,王元气,117.257,37.1705
JY-QD-005,14,姜集,117.242,37.1505
JY-QD-006,15,肖庙,117.285,37.1697
JY-QD-007,16,曲堤镇闫家,117.197,37.1299
JY-QD-008,17,王海亭,117.311,37.146
JY-QD-009,18,西郭,117.353,37.1718
JY-QD-010,19,老鸦张,117.352,37.1362
JY-JYJD-001,20,济阳街道赵家,117.235,37.0739
JY-JYJD-002,21,白衣店,117.224,37.0806
JY-JYJD-003,22,贺铺&五股道,117.219,37.0903
JY-CZ-001,24,东辛,117.171,36.8831
JY-CZ-002,25,花二庄,117.167,36.8766
JY-XS-001,26,路楼,116.972,37.046
JY-XS-002,27,南北庄,116.997,37.1208
JY-XS-003,28,新市镇付家,116.997,37.045
JY-XS-004,29,新市镇李家坊,117.045,37.0893
JY-XS-005,30,贺家,117,37.0595
JY-XS-006,31,韩胡同,116.997,37.1081
JY-SG-001,32,好庙,116.991,36.8824
JY-SG-002,33,东郎,116.974,36.9164
JY-SG-003,34,孙耿镇董家,117.033,36.8852
JY-DS-001,35,垛石镇逯家,117.087,37.0823
JY-DS-002,36,莫家,117.149,37.1179
JY-DS-003,37,建华,117.079,37.0181
JY-DS-004,38,姜家窑,117.048,37.0476
JY-DS-005,39,坡杨家,117.174,37.0283
JY-DS-006,40,后楼,117.079,37.0776
JY-DS-007,41,茌家,117.116,37.1076
JY-DS-008,42,西宋屯,117.1,37.064
JY-DS-009,43,温桥,117.075,37.1264
JY-TP-001,44,北郭,117.048,36.9542
JY-TP-002,45,太平傅家,117.024,36.9824
JY-TP-003,46,秦一,117.049,36.9924
JY-TP-004,47,艾家栏,116.951,36.9799
JY-TP-005,48,孙家店,117.083,36.957
JY-TP-006,49,东梁,116.938,37.0299
JY-TP-007,50,张宅,116.902,37.0046
JY-HH-001,51,西仁岸,117.172,36.8959
JY-HH-002,52,北吴,117.177,36.9075
JY-HH-003,53,大常,117.082,37.0011
JY-HH-004,54,大仁岸,117.18,36.8903
JY-HH-005,55,后封,117.132,36.9148
JY-HH-006,56,小冯,117.142,36.9106
JY-HH-007,57,小仁岸,117.183,36.8945
JY-HH-008,58,寨子,117.063,36.9027
JY-HH-009,59,桑皮赵,117.141,36.904
PY-HF-001,60,谢庄,116.299,36.1385
PY-HF-002,61,西池,116.297,36.1105
PY-HF-003,62,王山头村,116.292,36.0838
PY-HF-004,63,杜庄村,116.29,36.1393
PY-HF-005,64,南刘庄,116.301,36.0547
PY-HF-006,65,臧庄村,116.285,36.0831
PY-HF-007,66,张海村,116.291,36.1048
PY-HF-008,67,丁泉村,116.351,36.1044
PY-MG-001,68,江庄村,116.337,36.2899
PY-MG-002,69,孔集村,116.343,36.251
PY-MG-003,70,东唐村,116.407,36.224
PY-MG-004,71,北石硖村,116.421,36.2319
PY-MG-005,72,李塘村,116.352,36.2358
PY-DE-001,73,北市村&东黑山,116.32,36.2122
PY-DE-002,74,魏院村,116.255,36.1793
PY-DE-003,75,苏山头&南市,116.355,36.1836
PY-JSJD-001,76,宋子顺,116.38,36.2935
PY-JSJD-002,77,东孙庄,116.372,36.2963
PY-JSJD-003,78,下盆王,116.412,36.3005
PY-JSJD-004,79,龙桥,116.37,36.3026
PY-AC-001,80,林洼 ,116.55,36.2801
PY-AC-002,81,铁山,116.543,36.2588
PY-AC-003,82,西瓜店,116.531,36.3102
PY-AC-004,83,皂火,116.59,36.3153
PY-AC-005,84,中栾湾,116.529,36.3295
PY-AC-006,85,西凤凰,116.539,36.3055
PY-YSJD-001,86,石庄,116.463,36.3191
PY-YSJD-002,87,东蛮子,116.504,36.2575
PY-YSJD-003,88,三山峪,116.473,36.2442
PY-YSJD-004,89,田山,116.452,36.3237
PY-KC-001,90,前套,116.45,36.1748
PY-KC-002,91,南毛峪,116.369,36.1589
PY-KC-003,92,柿子园,116.456,36.1874
PY-KC-004,93,高路桥,116.43,36.1924
PY-KC-005,94,石板台,116.359,36.1643
PY-XZ-001,95,薄庄,116.392,36.1032
PY-XZ-002,96,张沟,116.442,36.1438
PY-XZ-003,97,野场,116.431,36.1142
PY-XZ-004,98,罗圈崖,116.385,36.1022
PY-XZ-005,99,孝直镇张庄,116.436,36.1447
SH-JZ-001,100,孟东,117.09,37.2693
SH-JZ-002,101,小孙家,117.1,37.2918
SH-JZ-003,102,白佛院,117.112,37.2622
SH-JZ-004,103,铁匠,117.071,37.2407
SH-JZ-005,104,城西燕家,117.072,37.3273
SH-JZ-006,105,边张,117.075,37.3034
SH-JZ-007,106,台子刘,117.04,37.3451
SH-JZ-008,107,西潘家,117.022,37.3297
SH-JZ-009,108,沙河董家,117.008,37.321
SH-YHM-001,109,商河齐家,117.064,37.2168
SH-YHM-002,110,国家,117.217,37.1544
SH-YHM-003,111,杨广坞,117.055,37.2403
SH-YHM-004,112,瓦东,117.117,37.1437
SH-YHM-005,113,演武屯,117.108,37.1629
CQ-PAJD-001,114,后升,116.742,36.601
SH-YHM-007,115,新董家,117.177,37.19
SH-YHM-008,116,朱家洼,117.155,37.1808
SH-YHM-009,117,纪家,117.08,37.1828
SH-YHM-010,118,许家寺,117.115,37.2271
SH-YHM-011,119,富常,117.119,37.2277
SH-ZL-001,120,路家,117.343,37.2822
SH-ZL-002,121,郑家,117.343,37.2846
SH-ZL-003,122,季家,117.341,37.2863
SH-ZL-004,123,郑路镇李家坊,117.346,37.2854
SH-ZL-005,124,光明,117.343,37.3144
SH-ZL-006,125,苑家,117.35,37.3262
SH-ZL-007,126,斜庙,117.393,37.2783
SH-SJ-001,127,袁窦,117.204,37.3471
SH-SJ-002,128,问王,117.212,37.3608
SH-SJ-003,129,园里,117.276,37.3046
SH-HR-003,130,怀仁镇前刘,117.069,37.3855
SH-SJ-005,131,陈刘,117.289,37.2675
SH-SJ-006,132,大浦洼,117.303,37.3141
SH-SJ-007,133,李家市,117.204,37.3202
SH-SJ-008,134,肖刘,117.243,37.351
SH-HR-001,135,前李村,117.064,37.3819
SH-HR-002,136,玉皇庙村,117.098,37.4067
SH-YX-001,137,吕家,117.214,37.4481
SH-YX-002,138,殷巷镇逯家,117.157,37.38
SH-YX-003,139,土马店,117.181,37.3925
SH-YX-004,140,殷巷镇崔家,117.156,37.3952
SH-YX-005,141,田滑,117.167,37.4667
SH-YX-006,142,绳西,117.128,37.4585
SH-YX-007,143,刘打磨,117.142,37.3958
SH-YX-008,144,张六真,117.118,37.4067
SH-YX-009,145,小马家,117.115,37.4143
SH-YX-010,146,北左家,117.205,37.429
SH-HM-001,147,后洼埃,117.23,37.492
SH-HM-002,148,孙家营,117.259,37.4768
SH-HM-003,149,东燕,117.259,37.5079
SH-HM-004,150,韩庙镇东张,117.078,37.3702
SH-HM-005,151,张家寨,117.271,37.4852
SH-ZF-001,152,苟家,117.052,37.3613
SH-ZF-002,153,张坊东张,117.078,37.3702
SH-ZF-003,154,张坊,117.111,37.3597
SH-LSS-001,155,刘集,117.307,37.4169
SH-LSS-002,156,温王,117.298,37.4185
SH-LSS-003,157,冯集,117.346,37.4225
SH-LSS-004,158,杨茂,117.316,37.3928
SH-LSS-005,159,张老庄,117.313,37.3795
SH-LSS-006,160,后寨,117.409,37.3555
SH-LSS-007,161,李官庄,117.299,37.3806
SH-LSS-008,162,后翟,117.362,37.3718
SH-XS-001,163,大高,117.192,37.241
SH-XS-002,164,双庙,117.244,37.3525
SH-XS-003,165,潘家,117.158,37.39
SH-XS-004,166,楚家,117.185,37.3385
SH-XS-005,167,张小庄,117.147,37.3483
SH-SHX-001,168,陈围子,117.23,37.4337
SH-SHX-002,169,文丰梁,117.31,37.4226
ZQ-D-001,170,刁镇崔家村,117.525,36.862
ZQ-D-002,171,炭张村,117.571,36.8629
ZQ-ZY-001,172,温家村,117.463,36.7988
ZQ-BYH-001,173,靠河林村,117.377,36.879
ZQ-BYH-002,174,牛码村,117.406,36.8319
ZQ-XZ-001,175,逯家村,117.483,36.9255
ZQ-XZ-002,176,常家村,117.504,36.9414
ZQ-DJF-001,177,阎码村,117.459,36.8385
ZQ-LS-001,178,高家庄,117.413,36.7678
ZQ-LS-003,180,黄家村,117.401,36.8006
ZQ-XGZ-001,181,腰庄村,117.621,36.8088
ZQ-XGZ-002,182,郝庄二村,117.571,36.8135
ZQ-XGZ-003,183,孙家村,117.59,36.8359
ZQ-XGZ-004,184,小魏李庄,117.606,36.784
ZQ-XGZ-005,185,丁家村&豆辛村,117.625,36.8013
ZQ-XGZ-006,186,李三官,117.563,36.8236
ZQ-XGZ-007,187,章丘齐家,117.61,36.7845
ZQ-XGZ-008,188,河滩村,117.61,36.7966
ZQ-XGZ-009,189,马家村,117.616,36.8022
ZQ-SZ-001,191,郝家楼村,117.437,36.9164
ZQ-SZ-002,192,鲁高村,117.434,36.9322
ZQ-GGZ-001,193,西胡村,117.206,36.9216
ZQ-GGZ-002,194,马住庄村,117.322,36.9285
ZQ-GGZ-003,195,中孟村,117.364,36.9288
ZQ-GGZ-004,196,庞家,117.308,36.8854
ZQ-CF-001,197,黄石梁,117.413,36.5571
ZQ-CF-002,198,中楼,117.393,36.5313
ZQ-CF-003,199,公益牌,117.39,36.5313
ZQ-CF-004,200,东横河,117.436,36.5523
ZQ-CF-005,201,南横河,117.434,36.5527
ZQ-CF-006,202,赵庄村,117.354,36.5511
ZQ-CF-007,203,凹峪,117.379,36.5468
ZQ-CF-008,204,没口村,117.366,36.556
ZQ-HH-001,205,岳家,117.29,37.0434
ZQ-HH-002,206,曹徐寨,117.331,36.9744
ZQ-HH-003,207,西李,117.279,36.981
ZQ-HH-004,208,黄河镇西张,117.321,37.0595
ZQ-HH-005,209,杨家,117.336,37.0689
ZQ-HH-006,210,黄河镇赵家,117.299,36.9997
ZQ-HH-007,211,南房,117.262,36.9686
ZQ-DZ-001,212,下琴子,117.416,36.4978
ZQ-DZ-002,213,西庵,117.467,36.5273
ZQ-DZ-003,214,上秋林,117.482,36.4912
ZQ-DZ-004,215,垛庄石匣,117.46,36.5156
ZQ-GZ-001,217,徐家井,117.617,36.6434
ZQ-GZ-002,218,南辛村,117.639,36.6563
ZQ-GZ-003,219,矿井村,117.699,36.624
ZQ-GZ-004,220,郭家楼,117.624,36.5948
ZQ-WZ-002,222,朱公泉,117.621,36.5657
ZQ-WZ-004,224,西窑头村,117.494,36.6031
ZQ-WZ-005,225,东田广,117.563,36.5399
ZQ-PJ-001,226,上柏村,117.69,36.7555
ZQ-PJ-004,227,小佛塔头&西埠,117.716,36.7188
ZQ-PJ-006,228,常坡村,117.717,36.6988
